,title,lyrics
32,Conexão Amazônica," Estou cansado de ouvir falar Em Freud, Jung, Engels, Marx Intrigas intelectuais Rodando em mesa de bar Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah O que eu quero eu não tenho O que eu não tenho eu quero ter Não posso ter o que eu quero E acho que isso não tem nada a ver Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Os tambores da selva já começaram a rufar Os tambores da selva já começaram a rufar A cocaína não vai chegar A cocaína não vai chegar Conexão amazônica está interrompida Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah E você quer ficar maluco sem dinheiro e acha que está tudo bem Mas alimento pra cabeça nunca vai matar a fome de ninguém Uma peregrinação involuntária talvez fosse a solução Auto-exílio nada mais é do que ter seu coração na solidão Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Estou cansado de ouvir falar Em Freud, Jung, Engels, Marx Intrigas intelectuais Rodando em mesa de bar Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah"
33,Dado Viciado," Você não tem heroína, então usa Algafan Viciou os seus primos, talvez sua irmã Mas aqui não tem Village, rua 42 Me diz pra onde é que é que você vai depois Por que você deixou suas veias fecharem? Não tem mais lugar pras agulhas entrarem Você não conversa, não quer mais falar Só tem as agulhas pra lhe ajudar Cadê o bronze no corpo? Os olhos azuis? O seu corpo tem marca de sangue e pus Você não sabe se é Março ou Fevereiro Trancado o dia inteiro dentro do banheiro Dado, Dado, Dado O que fizeram com você? Dado, Dado, Dado O que fizeram com você? Cadê os seus planos? Cadê as meninas? Você agora enche a cara e cai pelas esquinas Eu quero você, mas não vou lhe ajudar Não me peça dinheiro, não vou lhe entregar Cadê a criança? Meu primo e irmão Se perdeu por aí com seringas na mão Dado, Dado, Dado O que fizeram com você? Dado, Dado, Dado O que fizeram com você? Dado, Dado, Dado O que fizeram com você? Dado, Dado, Dado O que fizeram com você?"
34,Daniel Na Cova Dos Leões," Aquele gosto amargo do teu corpo Ficou na minha boca por mais tempo De amargo, então salgado ficou doce Assim que o teu cheiro forte e lento Fez casa nos meus braços E ainda leve, forte, cego e tenso Fez saber Que ainda era muito e muito pouco Faço nosso o meu segredo mais sincero E desafio o instinto dissonante A insegurança não me ataca quando erro E o teu momento passa a ser o meu instante E o teu medo de ter medo de ter medo Não faz da minha força confusão Teu corpo é meu espelho e em ti navego E eu sei que a tua correnteza não tem direção Mas, tão certo quanto o erro de ser barco a motor E insistir em usar os remos É o mal que a água faz quando se afoga E o salva-vidas não está lá porque não vemos"
35,Depois do Começo," Vamos deixar as janelas abertas E deixar o equilíbrio ir embora Cair como um saxofone na calçada Amarrar um fio de cobre no pescoço Acender o intervalo pelo filtro Usar um extintor como lençol Jogar pólo-aquático na cama Ficar deslizando pelo teto Da nossa casa cega e medieval Cantar canções em línguas estranhas Retalhar as cortinas desarmadas Com a faca surda que a fé sujou Desarmar os brinquedos indecentes E a indecência pura dos retratos no salão Vamos beber livros e mastigar tapetes Catar pontas de cigarros nas paredes Abrir a geladeira e deixar o vento sair Cuspir um dia qualquer no futuro De quem Já desapareceu Deus, Deus Somos todos ateus Vamos cortar os cabelos do príncipe E entregá-los a um deus plebeu E depois do começo O que vier vai começar a ser o fim E depois do começo O que vier vai começar a ser o fim E depois do começo O que vier vai começar a ser o fim E depois do começo O que vier vai começar a ser"
36,Desemprego, Não sei se tenho medo Não sei se tenho medo Só esse desespero Esqueço quando bebo E é mais um aumento Não tenho mais dinheiro Atraso o aluguel Mau compro alimento Não sei se tenho medo Não sei se tenho medo Trabalho o tempo inteiro To procurando emprego Quem vai ser despedido? Quem vai dançar primeiro? E o pouco que eu recebo É uma metade pelo meio Não sei se tenho medo Não sei se tenho medo Só esse desespero Esqueço quando bebo Quem vai ser despedido? Quem vai dançar primeiro? E o pouco que eu recebo É uma metade pelo meio Não sei se tenho medo Não sei se tenho medo...
37,Dezesseis," João Roberto era o maioral O nosso Johnny era um cara legal Ele tinha um Opala metálico azul Era o rei dos pegas na Asa Sul E em todo lugar Quando ele pegava no violão Conquistava as meninas E quem mais quisesse ter Sabia tudo da Janis Do Led Zeppelin, dos Beatles e dos Rolling Stones Mas de uns tempos pra cá Meio que sem querer Alguma coisa aconteceu Johnny andava meio quieto demais Só que quase ninguém percebeu Johnny estava com um sorriso estranho Quando marcou um super pega no fim de semana Não vai ser no CASEB Nem no Lago Norte, nem na UnB As máquinas prontas Um ronco de motor A cidade inteira se movimentou E Johnny disse Eu vou pra curva do Diabo, em Sobradinho, e vocês? E os motores saíram ligados a mil Pra estrada da morte o maior pega que existiu Só deu para ouvir, foi aquela explosão E os pedaços do Opala azul de Johnny pelo chão No dia seguinte, falou o diretor O aluno João Roberto não está mais entre nós Ele só tinha dezesseis Que isso sirva de aviso pra vocês E na saída da aula, foi estranho e bonito Todo o mundo cantando baixinho Strawberry Fields Forever Strawberry Fields Forever E até hoje, quem se lembra Diz que não foi o caminhão Nem a curva fatal E nem a explosão Johnny era fera demais Pra vacilar assim E o que dizem que foi tudo Por causa de um coração partido Um coração Bye, bye bye Johnny Johnny, bye, bye Bye, bye Johnny"
38,Do Espírito," Sai de mim Que eu não quero mais saber de você Esse eu te quero já não me convence mais E agora já nem me incomoda Sai de mim Não gosto de ser rejeitado E agora não tem volta Eu pego o bonde andando Você pegou o bonde errado Sua curiosidade é má E a ignorância é vizinha da maldade E só porque eu tenho não pense que é de mim Que você vai ter e conseguir o que não tem Só estou aberto a quem sempre foi do bem E agora estou fechado pra você Não, não, não venha pra cá Que eu não quero mais saber de você Não, não, não venha pra cá Que eu não quero mais saber de você Não, não, não venha pra cá Que eu não quero mais saber de você Não, não, não venha pra cá Que eu não quero mais saber de você Não me procura não Você não vai me achar Você não consegue entender Não, não, não venha pra cá Que eu não quero mais saber de você Não, não, não venha pra cá Que eu não quero mais saber de você Não, não, não venha pra cá Que eu não quero mais saber de você Não me procura não Você não vai me achar Você não consegue entender"
39,Dois Elefantes," Não sei se hoje é ontem ou anteontem E do seu telefonema eu não vi nem A cor Existe uma coisa que me dói perder, existe Uma coisa que custei a ganhar Meu rosto e teu rosto, rindo Dois elefantes no fundo do mar Me falaram de um trem, eu fui pra estação E do teu sorriso eu não vi nem a cor Existe uma coisa que eu queria Esquecer, existe Uma coisa que me dói lembrar Meu rosto e teu rosto roxos Dois elefantes sem respirar E o tempo, e o tempo É um trem que custa a passar Alguém te viu rindo, eu tava longe Um elefante pra lá, e outro pra cá. E o tempo, e o tempo É um trem que custa a passar Alguém te viu rindo, eu tava longe Um elefante pra lá, e outro pra cá."
40,Eduardo e Mônica," Quem um dia irá dizer Que existe razão Nas coisas feitas pelo coração? E quem irá dizer Que não existe razão? Eduardo abriu os olhos, mas não quis se levantar Ficou deitado e viu que horas eram Enquanto Mônica tomava um conhaque No outro canto da cidade, como eles disseram Eduardo e Mônica um dia se encontraram sem querer E conversaram muito mesmo pra tentar se conhecer Um carinha do cursinho do Eduardo que disse Tem uma festa legal, e a gente quer se divertir Festa estranha, com gente esquisita Eu não tô legal, não aguento mais birita E a Mônica riu, e quis saber um pouco mais Sobre o boyzinho que tentava impressionar E o Eduardo, meio tonto, só pensava em ir pra casa É quase duas, eu vou me ferrar Eduardo e Mônica trocaram telefone Depois telefonaram e decidiram se encontrar O Eduardo sugeriu uma lanchonete Mas a Mônica queria ver o filme do Godard Se encontraram, então, no parque da cidade A Mônica de moto e o Eduardo de camelo O Eduardo achou estranho e melhor não comentar Mas a menina tinha tinta no cabelo Eduardo e Mônica eram nada parecidos Ela era de Leão e ele tinha dezesseis Ela fazia Medicina e falava alemão E ele ainda nas aulinhas de inglês Ela gostava do Bandeira e do Bauhaus Van Gogh e dos Mutantes, de Caetano e de Rimbaud E o Eduardo gostava de novela E jogava futebol de botão com seu avô Ela falava coisas sobre o Planalto Central Também magia e meditação E o Eduardo ainda tava no esquema Escola, cinema, clube, televisão E mesmo com tudo diferente, veio mesmo, de repente Uma vontade de se ver E os dois se encontravam todo dia E a vontade crescia, como tinha de ser Eduardo e Mônica fizeram natação, fotografia Teatro, artesanato, e foram viajar A Mônica explicava pro Eduardo Coisas sobre o céu, a terra, a água e o ar Ele aprendeu a beber, deixou o cabelo crescer E decidiu trabalhar (não!) E ela se formou no mesmo mês Que ele passou no vestibular E os dois comemoraram juntos E também brigaram juntos muitas vezes depois E todo mundo diz que ele completa ela E vice-versa, que nem feijão com arroz Construíram uma casa há uns dois anos atrás Mais ou menos quando os gêmeos vieram Batalharam grana, seguraram legal A barra mais pesada que tiveram Eduardo e Mônica voltaram pra Brasília E a nossa amizade dá saudade no verão Só que nessas férias, não vão viajar Porque o filhinho do Eduardo tá de recuperação E quem um dia irá dizer Que existe razão Nas coisas feitas pelo coração? E quem irá dizer Que não existe razão?"
41,Esperando Por Mim, Acho que você não percebeu Que o meu sorriso era sincero Sou tão cínico às vezes O tempo todo Estou tentando me defender Digam o que disserem O mal do século é a solidão Cada um de nós imerso em sua própria arrogância Esperando por um pouco de afeição Hoje não estava nada bem Mas a tempestade me distrai Gosto dos pingos de chuva Dos relâmpagos e dos trovões Hoje à tarde foi um dia bom Saí prá caminhar com meu pai Conversamos sobre coisas da vida E tivemos um momento de paz É de noite que tudo faz sentido No silêncio eu não ouço meus gritos E o que disserem Meu pai sempre esteve esperando por mim E o que disserem Minha mãe sempre esteve esperando por mim E o que disserem Meus verdadeiros amigos sempre esperaram por mim E o que disserem Agora meu filho espera por mim Estamos vivendo E o que disserem os nossos dias serão para sempre.
42,Eu Era Um Lobisomem Juvenil," Luz e sentido e palavra, palavra É que o coração não pensa Ontem faltou água Anteontem faltou luz Teve torcida gritando Quando a luz voltou Não falo como você fala Mas vejo bem O que você me diz Se o mundo é mesmo Parecido com o que vejo Prefiro acreditar No mundo do meu jeito E você estava esperando voar Mas como chegar até as nuvens com os pés no chão? O que sinto muitas vezes Faz sentido e outras vezes Não descubro um motivo Que me explique porque é Que não consigo ver sentido No que sinto, que procuro O que desejo e o que faz parte Do meu mundo O arco-íris tem sete cores E fui juiz supremo Vai, vem embora, volta Todos têm, todos têm Suas próprias razões Qual foi a semente que você plantou? Tudo acontece ao mesmo tempo Nem eu mesmo sei direito O que está acontecendo E daí, de hoje em diante Todo dia vai ser o dia mais importante Se você quiser alguém pra ser só seu É só não se esquecer, estarei aqui Se você quiser alguém pra ser só seu É só não se esquecer, estarei aqui Não digo nada Espero o vendaval passar Por enquanto eu não sei O que você me falou Me fez rir e pensar Porque estou tão preocupado Por estar Tão preocupado assim Mesmo se eu cantasse Todas as canções Todas as canções Todas as canções Todas as canções do mundo Sou bicho do mato mas Se você quiser alguém pra ser só seu É só não se esquecer, estarei aqui Se você quiser alguém pra ser só seu É só não se esquecer, estarei aqui Se você quiser alguém pra ser só seu É só não se esquecer, estarei aqui Se você quiser alguém pra ser só seu É só não se esquecer, estarei aqui Ou então não terás jamais A chave do meu coração"
43,Eu Sei," Sexo verbal não faz meu estilo Palavras são erros e os erros são seus Não quero lembrar que eu erro também Um dia pretendo tentar descobrir Porque é mais forte quem sabe mentir Não quero lembrar que eu minto também Eu sei Eu sei Feche a porta do seu quarto Porque se toca o telefone pode ser alguém Com quem você quer falar por horas e horas e horas A noite acabou, talvez tenhamos que fugir sem você Mas não, não vá agora, quero honras e promessas Lembranças e histórias Somos pássaro novo longe do ninho Eu sei Eu sei"
44,Fábrica, Nosso dia vai chegar Teremos nossa vez Não é pedir demais Quero justiça Quero trabalhar em paz Não é muito o que lhe peço Eu quero um trabalho honesto Em vez de escravidão Deve haver algum lugar Onde o mais forte Não consegue escravizar Quem não tem chance De onde vem a indiferença Temperada a ferro e fogo? Quem guarda os portões Da fábrica? O céu já foi azul Mas agora é cinza O que era verde aqui Já não existe mais Quem me dera acreditar Que não acontece nada De tanto brincar com fogo Que venha o fogo então Esse ar deixou minha vista cansada Nada demais
45,Faroeste Caboclo," Não tinha medo o tal João de Santo Cristo Era o que todos diziam quando ele se perdeu Deixou pra trás todo o marasmo da fazenda Só pra sentir no seu sangue o ódio que Jesus lhe deu Quando criança só pensava em ser bandido Ainda mais quando com um tiro de soldado o pai morreu Era o terror da cercania onde morava E na escola até o professor com ele aprendeu Ia pra igreja só pra roubar o dinheiro Que as velhinhas colocavam na caixinha do altar Sentia mesmo que era mesmo diferente Sentia que aquilo ali não era o seu lugar Ele queria sair para ver o mar E as coisas que ele via na televisão Juntou dinheiro para poder viajar De escolha própria, escolheu a solidão Comia todas menininhas da cidade De tanto brincar de médico, aos doze era professor Aos quinze, foi mandado pro reformatório Onde aumentou seu ódio diante de tanto terror Não entendia como a vida funcionava Discriminação por causa da sua classe e sua cor Ficou cansado de tentar achar resposta E comprou uma passagem, foi direto a Salvador E lá chegando foi tomar um cafezinho E encontrou um boiadeiro com quem foi falar E o boiadeiro tinha uma passagem e ia perder a viagem Mas João foi lhe salvar Dizia ele: Estou indo pra Brasília Neste país lugar melhor não há Tô precisando visitar a minha filha Eu fico aqui e você vai no meu lugar E João aceitou sua proposta E num ônibus entrou no Planalto Central Ele ficou bestificado com a cidade Saindo da rodoviária, viu as luzes de Natal Meu Deus, mas que cidade linda No Ano Novo eu começo a trabalhar Cortar madeira, aprendiz de carpinteiro Ganhava cem mil por mês em Taguatinga Na sexta-feira ia pra zona da cidade Gastar todo o seu dinheiro de rapaz trabalhador E conhecia muita gente interessante Até um neto bastardo do seu bisavô Um peruano que vivia na Bolívia E muitas coisas trazia de lá Seu nome era Pablo e ele dizia Que um negócio ele ia começar E Santo Cristo até a morte trabalhava Mas o dinheiro não dava pra ele se alimentar E ouvia às sete horas o noticiário Que sempre dizia que o seu ministro ia ajudar Mas ele não queria mais conversa E decidiu que, como Pablo, ele iria se virar Elaborou mais uma vez seu plano santo E sem ser crucificado, a plantação foi começar Logo, logo os maluco da cidade souberam da novidade Tem bagulho bom aí! E João de Santo Cristo ficou rico E acabou com todos os traficantes dali Fez amigos, frequentava a Asa Norte E ia pra festa de rock pra se libertar Mas de repente Sob uma má influência dos boyzinhos da cidade Começou a roubar Já no primeiro roubo ele dançou E pro inferno ele foi pela primeira vez Violência e estupro do seu corpo Vocês vão ver, eu vou pegar vocês! Agora o Santo Cristo era bandido Destemido e temido no Distrito Federal Não tinha nenhum medo de polícia Capitão ou traficante, playboy ou general Foi quando conheceu uma menina E de todos os seus pecados ele se arrependeu Maria Lúcia era uma menina linda E o coração dele, pra ela o Santo Cristo prometeu Ele dizia que queria se casar E carpinteiro ele voltou a ser Maria Lúcia, pra sempre vou te amar E um filho com você eu quero ter O tempo passa e um dia vem na porta Um senhor de alta classe com dinheiro na mão E ele faz uma proposta indecorosa E diz que espera uma resposta, uma resposta do João Não boto bomba em banca de jornal Nem em colégio de criança, isso eu não faço, não E não protejo general de dez estrelas Que fica atrás da mesa com o cu na mão E é melhor o senhor sair da minha casa Nunca brinque com um Peixes de ascendente Escorpião Mas antes de sair, com ódio no olhar, o velho disse Você perdeu sua vida, meu irmão Você perdeu a sua vida, meu irmão Você perdeu a sua vida, meu irmão Essas palavras vão entrar no coração Eu vou sofrer as consequências como um cão Não é que o Santo Cristo estava certo Seu futuro era incerto e ele não foi trabalhar Se embebedou e no meio da bebedeira Descobriu que tinha outro trabalhando em seu lugar Falou com Pablo que queria um parceiro E também tinha dinheiro e queria se armar Pablo trazia o contrabando da Bolívia E Santo Cristo revendia em Planaltina Mas acontece que um tal de Jeremias Traficante de renome, apareceu por lá Ficou sabendo dos planos de Santo Cristo E decidiu que com João ele ia acabar Mas Pablo trouxe uma Winchester-22 E Santo Cristo já sabia atirar E decidiu usar a arma só depois Que Jeremias começasse a brigar Jeremias, maconheiro sem-vergonha Organizou a Rockonha e fez todo mundo dançar Desvirginava mocinhas inocentes Se dizia que era crente, mas não sabia rezar E Santo Cristo há muito não ia pra casa E a saudade começou a apertar Eu vou-me embora, eu vou ver Maria Lúcia Já tá em tempo de a gente se casar Chegando em casa então ele chorou E pro inferno ele foi pela segunda vez Com Maria Lúcia, Jeremias se casou E um filho nela ele fez Santo Cristo era só ódio por dentro E então o Jeremias pra um duelo ele chamou Amanhã às duas horas na Ceilândia Em frente ao lote 14, e é pra lá que eu vou E você pode escolher as suas armas Que eu acabo mesmo com você, seu porco traidor E mato também Maria Lúcia Aquela menina falsa pra quem jurei o meu amor E o Santo Cristo não sabia o que fazer Quando viu o repórter da televisão Que deu notícia do duelo na TV Dizendo a hora e o local e a razão No sábado então, às duas horas Todo o povo sem demora foi lá só para assistir Um homem que atirava pelas costas E acertou o Santo Cristo começou a sorrir Sentindo o sangue na garganta João olhou pras bandeirinhas e pro povo a aplaudir E olhou pro sorveteiro e pras câmeras E a gente da TV que filmava tudo ali E se lembrou de quando era uma criança E de tudo o que vivera até ali E decidiu entrar de vez naquela dança Se a Via-Crucis virou circo, estou aqui E nisso o Sol cegou seus olhos E então Maria Lúcia ele reconheceu Ela trazia a Winchester-22 A arma que seu primo Pablo lhe deu Jeremias, eu sou homem, coisa que você não é E não atiro pelas costas, não Olha pra cá filha da puta, sem-vergonha Dá uma olhada no meu sangue e vem sentir o teu perdão E Santo Cristo, com a Winchester-22 Deu cinco tiros no bandido traidor Maria Lúcia se arrependeu depois E morreu junto com João, seu protetor E o povo declarava que João de Santo Cristo Era santo porque sabia morrer E a alta burguesia da cidade Não acreditou na história que eles viram na TV E João não conseguiu o que queria Quando veio pra Brasília com o diabo ter Ele queria era falar pro presidente Pra ajudar toda essa gente que só faz Sofrer"
46,Fátima," Vocês esperam uma intervenção divina Mas não sabem que o tempo agora está contra vocês Vocês se perdem no meio de tanto medo De não conseguir dinheiro pra comprar sem se vender E vocês armam seus esquemas ilusórios Continuam só fingindo que o mundo ninguém fez Mas acontece que tudo tem começo Se começa um dia acaba, eu tenho pena de vocês E as ameaças de ataque nuclear Bombas de neutrons não foi Deus quem fez Alguém, alguém um dia vai se vingar Vocês são vermes, pensam que são reis Não quero ser que nem vocês Eu não preciso mais Eu já sei o que eu tenho que saber E agora tanto faz Três crianças sem dinheiro e sem moral Não ouviram a voz suave que era uma lágrima E se esqueceram de avisar pra todo mundo Ela talvez tivesse um nome e era: Fátima E de repente o vinho virou água E a ferida não cicatrizou E o limpo se sujou E no terceiro dia ninguém ressuscitou"
47,Feedback Song For A Dying Friend," Soothe the young man's sweating forehead Touch the naked stem held hidden there Safe in such dark hayseed wired nest Then his light brown eyes are quick Once touch is what he thought was grip Tis not his hands those there but mine And safe,my hands do seek to gain All knowledge of my master's manly rain The scented taste that stills my tongue Is wrong that is set but not undone His fiery eyes can slash my savage skin And force all seriousness away He wades in close waters Deep sleep alters his senses I must obey my only rival He will command our twin revival The same insane sustain again (The two of us so close to our own hearts) I silence and wrote This awe of coincidence"
48,Gente, I sabglia sai quasi continuamente sperando di non farsi mai troppo male ma qaunte volte si cade. La vita sai è un filo in equilibrio e prima o poi ci ritroviamo distanti davanti a un bivio. Ed ogni giorno insieme per fare solo un metro in più Ci vuole tutto il bene che riusciremo a trovarein ognuno di noi Ma a volte poi basta un sorriso solo a sciogliere in noi anche un inverno di gelo e ripartire da zero Perché non c'è un limite per nessuno che dentro sè abbia un amore sincero solo un respiro Non siamo angeli in volo venuti dal cielo Ma gente comune che ama davvero Gente che vuole un mondo più vero la gente che incontri per strada in città Prova e vedrai ci sarà sempre un modo dentro di noi per poi riprendere il volo verso il sereno Non siamo angeli in volo venuti dal cielo ma gente comune che ama davvero gente che vuole un mondo più vero la gente che insieme lo cambierà Gente che vuole un mondo piú vero la gente che insieme lo cambierà
49,Gente Humilde," Tem certos dias em que eu penso em minha gente E sinto assim todo o meu peito se apertar Porque parece que acontece de repente Como um desejo de eu viver sem me notar Igual a como quando eu passo no subúrbio Eu muito bem, vindo de trem de algum lugar E aí me dá como uma inveja dessa gente Que vai em frente sem nem ter com quem contar São casas simples com cadeiras na calçada E na fachada escrito em cima que é um lar Pela varanda, flores tristes e baldias Como a alegria que não tem onde encostar E aí me dá uma tristeza no meu peito Feito um despeito de eu não ter como lutar E eu que não creio, peço a Deus por minha gente É gente humilde, que vontade de chorar"
50,Geração Coca-Cola," Quando nascemos fomos programados A receber o que vocês Nos empurraram com os enlatados Dos U.S.A., de nove às seis Desde pequenos nós comemos lixo Comercial e industrial Mas agora chegou nossa vez Vamos cuspir de volta o lixo em cima de vocês Somos os filhos da revolução Somos burgueses sem religião Somos o futuro da nação Geração Coca-Cola Depois de 20 anos na escola Não é difícil aprender Todas as manhas do seu jogo sujo Não é assim que tem que ser Vamos fazer nosso dever de casa E aí então vocês vão ver Suas crianças derrubando reis Fazer comédia no cinema com as suas leis Somos os filhos da revolução Somos burgueses sem religião Somos o futuro da nação Geração Coca-Cola Geração Coca-Cola Geração Coca-Cola Geração Coca-Cola Depois de 20 anos na escola Não é difícil aprender Todas as manhas do seu jogo sujo Não é assim que tem que ser Vamos fazer nosso dever de casa E aí então vocês vão ver Suas crianças derrubando reis Fazer comédia no cinema com as suas leis Somos os filhos da revolução Somos burgueses sem religião Somos o futuro da nação Geração Coca-cola Geração Coca-cola Geração Coca-cola Geração Coca-cola"
51,Gimme Shelter," Ooh, see a storm it's threat'ning my very life today.  Come'on babe gimme shelter or else, I'm gonna fade away.  Ooh, see a storm it's threat'ning my very life today.  Burns like a red coal carpet mad bull lost its way.  Love sister it's just a shot away It's just a shot away  Love sister it's just a shot away It's just a shot away  War sister it's just a shot away It's just a shot away  It's just a shot away It's just a shot away  It's just a shot away It's just a shot away  Love sister it's just a kiss away It's just a kiss away  It's just a kiss away Kiss away kiss away Kiss away kiss away Kiss away kiss away  See the fire burning down my soul  See the fire burning down my soul  See the fire burning down my soul  See the fire and there's no fucking place to go Where are the drugs? Where are the drugs?  Where are the drugs? Where are the drugs?  Gimme Shelter  Come'on babe gimme shelter tonight  Yeah, Burns Like a red coal carpet  Burns like a red coal carpet  Burns like a red coal carpet,  yeah, yeah, yeah See a storm it's threat'ning  My very life, my very life, yeah  Come on come on come on  Gimme Shelter, Gimme Shelter, Gimme Shelter  cedo - My very streets today  cedo - Where are the fucking drugs? cedo"
52,Giz," E mesmo sem te ver Acho até que estou indo bem Só apareço, por assim dizer Quando convém aparecer Ou quando quero Quando quero Desenho toda a calçada Acaba o giz, tem tijolo de construção Eu rabisco o sol Que a chuva apagou Quero que saibas que me lembro Queria até que pudesses me ver És parte ainda do que me faz forte E, pra ser honesto só um pouquinho infeliz Mas tudo bem, tudo bem, tudo bem Tudo bem, tudo bem, tudo bem Lá vem, lá vem, lá vem de novo Acho que estou gostando de alguém E é de ti Que não me esquecerei Quando quero (Tudo bem, tudo bem, tudo bem) Quando quero (Tudo bem, tudo bem, tudo bem) Quando quero Eu rabisco o sol que a chuva apagou Quando quero Acho que estou gostando de alguém"
53,Há Tempos," Parece cocaína mas é só tristeza, talvez tua cidade Muitos temores nascem do cansaço e da solidão Descompasso, desperdício Herdeiros são agora da virtude que perdemos Há tempos tive um sonho Não me lembro, não me lembro Tua tristeza é tão exata E hoje o dia é tão bonito Já estamos acostumados A não termos mais nem isso Os sonhos vêm e os sonhos vão E o resto é imperfeito Disseste que se tua voz Tivesse força igual À imensa dor que sentes Teu grito acordaria Não só a tua casa Mas a vizinhança inteira E há tempos nem os santos Têm ao certo a medida da maldade E há tempos são os jovens que adoecem E há tempos o encanto está ausente E há ferrugem nos sorrisos Só o acaso estende os braços A quem procura abrigo e proteção Meu amor! Disciplina é liberdade Compaixão é fortaleza Ter bondade é ter coragem Lá em casa tem um poço Mas a água é muito limpa"
54,Head On," As soon as I get my head round you I come around catching sparks off you I get an electric charge from you That seconde hand living it just won't do And the way I feel tonight Well I could die and I wouldn't mind And there's something going on inside Makes you want to feel, makes you want to try Makes you wanna blow the stars from the sky I can't stand up, I cant' cool down I can't get my head off the ground As soon as I get my head round you I come around catching sparks off you And all I ever got from you Was all ever took from you And the world could die in pain And I wouldn't feel no shame And there's nothing holding me to blame Makes you want to feel makes you want to try Makes you want to blow the stars from sky I'm taking myself to the dirty part of town Where all my troubles can't be found, ooh Ah yeah, ah yeah Makes you want to feel makes you want to try Makes you want to feel makes you want to try Ah yeah, ah yeah"
55,"Hey, That Is No Way To Say Goodbye"," I loved you in the morning, Our kisses deep and warm, Your hair upon the pillow like a sleepy golden storm, Yes, Many loved before us, I know that we are not new, In city and in forest they smiled like me and you, But now it's come to distances and both Of us must cry, your eyes are soft with sorrow, Hey, that's no way to say goodbye. I'm not looking for another as I wander in my time, Walk me to the corner, Our steps will always rhyme you know my love goes with you as your love stays with me, It's just the way it changes, Like the shoreline and the sea, But let's not talk of love or chains and things we can't untie, Your eyes are soft with sorrow, Hey, that's no way to say goodbye. I loved you in the morning, our kisses deep and warm, Your hair upon the pillow like a sleepy golden storm, Yes many loved before us, I know that we are not new, In city and in forest they smiled like me and you, But let's not talk of love or chains and things we can't untie, Your eyes are soft with sorrow, hey, that's no way to say goodbye."
56,High Noon (Do Not Forsake Me), [Instrumental]
57,Hoje a Noite Não Tem Luar," Ela passou do meu lado ""Oi, amor."" - eu lhe falei ""Você está tão sozinha"" Ela então sorriu pra mim Foi assim que a conheci Naquele dia junto ao mar As ondas vinham beijar a praia O sol brilhava de tanta emoção Um rosto lindo como o verão E um beijo aconteceu Nos encontramos à noite Passeamos por aí E num lugar escondido Outro beijo lhe pedi Lua de prata no céu O brilho das estrelas no chão Tenho certeza que não sonhava A noite linda continuava E a voz tão doce que me falava ""O mundo pertence a nós!"" E hoje a noite não tem luar E eu estou sem ela Já não sei onde procurar Não sei onde ela está Hoje a noite não tem luar E eu estou sem ela Já não sei onde procurar Onde está meu amor?"
58,I Get Along Without You Very Well," I get along without you very well Of course I do Except when soft rains fall And drip from leaves then I recall The thrill of being sheltered in your arms Of course I do But I get along without you very well I've forgotten you just like I should Of course I have Except to hear your name Or someone's laugh that is the same But I'v forgotten you like I should What a guy, what a fool am I To think my breaking heart could kid the moon What's in store, should I phone once more No it's best that I stick to my tune I get along without you very well Of course I do Except perhaps in spring But I should never think of spring For that would surely break my heart in two"
59,Idade Média, Sei que já não sou tão jovem E não tenho a mesma idade que você Mas também sou capaz de vencer Essa guerra contra o mundo inteiro E contra a mim mesmo A hipocrisia dos homens faz nascer A revolta de uma classe tão pobre Pois a sombra da maldade é tão negra E o vento que sopra o teu cabelo é tão triste E tão puro como o verde dos teus olhos Sei que podemos nos unir Mas a sua arrogância é o que atrapalha E a minha ingenuidade é o que me cega E a minha juventude não é coisa do passado Assim como as rosas que morreram essa noite Por eu não saber amar As espadas se erguem em fúria E o sangue corre por seus ombros E o teu olhar se esconde atrás de mim Mas eu não posso te proteger Pois estou tão fraco quanto você A nossa juventude está ficando pra trás Mas a morte não é capaz de nos separar Pois o que vai viver são nossos ideais E a nossa mensagem de amor E o nosso grito de liberdade
